-3.099,-1.63
-3.65,-0.35
-3.16,-1.97
-3.75,3.29
-2.85,4.44
-3.53,6.49
-2.53,8.89
-2.83,11.55
-1.63,13.904
-2.275,16.08
-0.78,18.02
-0.715,21.95
0.62,23.73
0.17,25.42
1.71,27.14
1.43,29.53
3,31.13
1.19,32.21
2.03,29.09
1.13,28.35
0.78,29.28
1.27,31.13
0.81,33.69
-1.49,33.29
-4.09,33.48
-6.08,32.68
8.14,32.95
-9.9,32.08
-12.72,32.94
-15.05,31.93
-16.64,32.81
-19.42,31.99
-21.44,32.97
-24.13,32.01
-26.12,33.21
-28.23,32.24
-28.99,30.12
-27.09,29.71
-26.54,27.02
-28.405,26.87
-27.49,33.07
-19.99,30.29
-15.82,29.09
-8.57,25.64
-0.88,21.605
